Z,Y,X,Red,Green,Blue,Size
0,55,331,115,110,96,1
0,55,332,78,67,64,1
0,55,333,61,58,41,1
0,56,59,54,64,81,1
0,56,60,96,92,92,1
0,56,61,103,121,143,1
0,56,62,147,151,144,1
0,56,63,145,132,124,1
0,56,64,112,103,85,1
0,56,65,91,122,139,1
0,56,66,142,146,148,1
0,56,67,152,151,141,1
0,56,68,129,143,142,1
0,56,69,135,153,161,1
0,56,70,154,136,136,1
0,56,71,153,174,163,1
0,56,72,156,145,158,1
0,56,73,154,146,133,1
0,56,74,138,131,122,1
0,56,75,113,101,91,1
0,56,76,76,74,68,1
0,56,77,56,50,39,1
0,56,187,63,76,83,1
0,56,188,97,98,102,1
0,56,189,115,134,158,1
0,56,190,151,147,152,1
0,56,191,157,144,132,1
0,56,192,136,116,87,1
0,56,193,91,108,137,1
0,56,194,147,145,158,1
0,56,195,155,146,136,1
0,56,196,133,140,146,1
0,56,197,135,138,147,1
0,56,198,142,137,148,1
0,56,199,167,166,150,1
0,56,200,152,149,155,1
0,56,201,147,141,135,1
0,56,202,137,123,115,1
0,56,203,109,95,91,1
0,56,204,84,74,62,1
0,56,205,52,49,39,1
0,56,314,37,43,53,1
0,56,315,71,82,83,1
0,56,316,98,107,111,1
0,56,317,120,135,153,1
0,56,318,142,131,137,1
0,56,319,143,136,121,1
0,56,320,125,114,100,1
0,56,321,90,97,124,1
0,56,322,141,151,159,1
0,56,323,144,130,134,1
0,56,324,140,142,148,1
0,56,325,139,139,143,1
0,56,326,141,141,158,1
0,56,327,171,161,151,1
0,56,328,147,146,146,1
0,56,329,148,141,129,1
0,56,330,132,118,107,1
0,56,331,108,102,89,1
0,56,332,89,80,67,1
0,56,333,59,54,38,1
0,57,59,71,87,89,1
0,57,60,90,92,103,1
0,57,61,123,136,131,1
0,57,62,140,143,141,1
0,57,63,133,130,121,1
0,57,64,118,108,103,1
0,57,65,98,98,110,1
0,57,66,134,146,148,1
0,57,67,145,133,128,1
0,57,68,141,135,134,1
0,57,69,138,143,146,1
0,57,70,148,139,152,1
0,57,71,168,170,159,1
0,57,72,149,147,143,1
0,57,73,150,145,134,1
0,57,74,139,128,113,1
0,57,75,109,96,87,1
0,57,76,86,83,65,1
0,57,77,60,53,38,1
0,57,186,50,61,58,1
0,57,187,74,86,82,1
0,57,188,77,87,109,1
0,57,189,135,140,129,1
0,57,190,144,152,151,1
0,57,191,141,136,128,1
0,57,192,115,99,95,1
0,57,193,93,93,106,1
0,57,194,130,144,136,1
0,57,195,144,149,139,1
0,57,196,147,137,129,1
0,57,197,133,138,142,1
0,57,198,150,134,132,1
0,57,199,143,156,154,1
0,57,200,151,144,139,1
0,57,201,154,158,154,1
0,57,202,141,137,128,1
0,57,203,108,92,91,1
0,57,204,79,79,61,1
0,57,205,56,49,38,1
0,57,314,51,60,68,1
0,57,315,83,86,80,1
0,57,316,84,104,126,1
0,57,317,134,132,139,1
0,57,318,150,147,149,1
0,57,319,142,134,131,1
0,57,320,124,105,94,1
0,57,321,89,85,106,1
0,57,322,132,137,128,1
0,57,323,135,148,150,1
0,57,324,144,133,136,1
0,57,325,137,134,134,1
0,57,326,137,128,127,1
0,57,327,139,152,155,1
0,57,328,154,154,157,1
0,57,329,180,179,164,1
0,57,330,144,130,123,1
0,57,331,109,104,83,1
0,57,332,72,71,60,1
0,57,333,58,43,30,1
0,58,57,29,43,54,1
0,58,58,57,62,71,1
0,58,59,84,91,100,1
0,58,60,118,128,138,1
0,58,61,142,136,135,1
0,58,62,141,144,152,1
0,58,63,148,138,132,1
0,58,64,121,106,91,1
0,58,65,79,81,106,1
0,58,66,134,138,134,1
0,58,67,132,138,155,1
0,58,68,138,121,137,1
0,58,69,143,137,143,1
0,58,70,141,144,142,1
0,58,71,139,148,156,1
0,58,72,161,177,176,1
0,58,73,188,182,152,1
